,reward,year_month,requesterId,cohort
109,3973.42,2015-04,A12GO16SY7OB3P,2014-06
110,1881.16,2015-05,A12GO16SY7OB3P,2014-06
111,1877.4,2015-06,A12GO16SY7OB3P,2014-06
112,1265.64,2015-07,A12GO16SY7OB3P,2014-06
113,129.6,2014-06,A12JSNAF2FU5BY,2014-06
114,1.5,2014-06,A12KG09ED4CXPJ,2014-06
115,27.0,2014-10,A12KG09ED4CXPJ,2014-06
116,6.0,2014-11,A12KG09ED4CXPJ,2014-06
117,1.0,2014-12,A12KG09ED4CXPJ,2014-06
118,2.8,2015-07,A12KG09ED4CXPJ,2014-06
119,2.6,2015-08,A12KG09ED4CXPJ,2014-06
120,8.4,2016-02,A12KG09ED4CXPJ,2014-06
121,0.6,2014-06,A12MIRV6NOE665,2014-06
122,0.6,2014-06,A12U2V0DPSI01L,2014-06
123,0.4,2014-07,A12U2V0DPSI01L,2014-06
124,4.4,2014-08,A12U2V0DPSI01L,2014-06
125,0.4,2014-09,A12U2V0DPSI01L,2014-06
126,2.4,2015-03,A12U2V0DPSI01L,2014-06
127,0.8,2015-07,A12U2V0DPSI01L,2014-06
128,0.2,2016-02,A12U2V0DPSI01L,2014-06
129,3.0,2015-03,A12W5HRSO4WASI,2014-06
130,3.0,2015-04,A12W5HRSO4WASI,2014-06
131,1.0,2015-05,A12W5HRSO4WASI,2014-06
132,1.0,2016-02,A12W5HRSO4WASI,2014-06
133,0.52,2014-06,A12WL3YLGP0SHC,2014-06
134,4.0,2014-06,A12X0H4XO4E2P4,2014-06
135,3.2,2014-09,A12X0H4XO4E2P4,2014-06
136,1.8,2014-10,A12X0H4XO4E2P4,2014-06
137,1.08,2016-02,A12X0H4XO4E2P4,2014-06
138,0.5,2014-06,A13512UCB235WN,2014-06
139,0.4,2014-08,A13512UCB235WN,2014-06
140,0.45,2014-12,A13512UCB235WN,2014-06
141,0.4,2015-06,A13512UCB235WN,2014-06
142,1.2,2014-06,A13B7AA47KS6S8,2014-06
143,117.5,2014-06,A13J7P1XT45HD,2014-06
144,12.0,2014-08,A13J7P1XT45HD,2014-06
145,27.3,2015-02,A13J7P1XT45HD,2014-06
146,136.5,2015-05,A13J7P1XT45HD,2014-06
147,0.4,2014-06,A13VG7JVS22TD8,2014-06
148,0.1,2014-06,A13W2JZPH0OCFK,2014-06
149,224.08,2014-06,A13XJ9WAI95FPS,2014-06
150,156.5,2014-06,A13YV2LD0WTS7K,2014-06
